システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,10,172,91
2109,14,48,36,6827,123,,
2113,14,51,39,6845,123,,
2117,4,41,31,6845,122,,
2121,0,42,30,6819,122,,
2125,6,43,33,6819,121,,
2129,6,47,34,6858,122,,
2133,-1,37,29,6858,120,,
2137,5,46,33,6839,121,,
2141,11,45,38,6839,119,,
2145,12,46,36,6857,119,,
2149,4,43,34,6857,118,,
2153,13,47,39,6825,117,,
2157,9,48,40,6825,116,,
2161,-2,38,30,6813,115,,
2165,3,43,36,6813,114,,
2169,4,42,34,6849,114,,
2173,3,42,37,6849,112,,
2177,-5,36,28,6838,112,,
2181,0,39,35,6838,110,,
2185,10,44,39,6858,109,,
2189,8,41,38,6858,107,,
2193,5,44,38,6832,107,,
2197,2,44,38,6832,107,,
2201,6,43,39,6830,106,,
2205,7,42,38,6830,105,,
2209,3,43,38,6821,105,,
2213,2,43,41,6821,103,,
2217,8,44,43,6821,101,,
2221,9,43,42,6821,100,,
2225,2,40,42,6805,97,,
2229,5,41,40,6805,96,,
2233,2,36,38,6812,94,,
2237,0,37,40,6812,92,,
2241,2,36,39,6829,90,,
2245,-3,35,39,6829,88,,
2249,-5,35,40,6831,86,,
2253,-5,31,37,6831,84,,
2257,0,35,45,6825,80,,
2261,-2,33,39,6825,79,,
2265,0,34,45,6820,76,,
2269,3,38,49,6820,73,,
2273,5,38,47,6830,72,,
2277,10,44,53,6830,71,,
2281,7,36,43,6801,71,,
2285,9,42,47,6801,72,,
2289,8,43,52,6801,71,,
2293,3,40,52,6801,69,,
2297,-5,33,42,6754,69,,
2301,-6,32,46,6754,66,,
2305,-8,26,41,6792,63,,
2309,-19,20,35,6792,61,,
2313,-17,21,38,6822,58,,
2317,-11,20,39,6822,55,,
2321,-16,18,37,6858,52,,
2325,-10,19,37,6858,50,,
2329,-3,27,42,6873,50,,
2333,-3,27,46,6873,48,,
2337,2,26,48,6865,45,,
2341,9,35,54,6865,44,,
2345,2,26,50,6830,41,,
2349,-10,17,38,6830,40,,
2353,-1,24,47,6816,38,,
2357,-3,22,42,6816,38,,
2361,-12,16,40,6842,36,,
2365,-9,21,42,6842,36,,
2369,-7,20,39,6867,37,,
2373,-7,20,43,6867,36,,
2377,-9,17,37,6875,36,,
2381,-2,24,44,6875,36,,
2385,0,22,43,6889,36,,
2389,1,26,46,6889,36,,
2393,2,19,41,6877,35,,
2397,-5,18,39,6877,35,,
2401,1,19,42,6867,34,,
2405,0,19,39,6867,35,,
2409,-5,17,40,6885,34,,
2413,-9,12,35,6885,33,,
2417,-6,14,34,6880,34,,
2421,-7,10,33,6880,33,,
2425,-7,8,32,6904,32,,
2429,-4,14,38,6904,31,,
2433,2,19,38,6909,33,,
2437,3,17,39,6909,33,,
2441,6,18,41,6905,32,,
2445,7,20,40,6905,33,,
2449,8,22,39,6899,35,,
2453,7,19,40,6899,35,,
2457,7,25,44,6894,36,,
2461,5,17,38,6894,36,,
2465,3,20,41,6867,36,,
2469,3,19,40,6867,36,,
2473,7,19,36,6887,38,,
2477,7,14,32,6887,39,,
2481,0,16,32,6896,41,,
2485,4,14,31,6896,42,,
2489,8,17,35,6905,42,,
2493,11,21,37,6905,43,,
2497,11,22,38,6906,44,,
2501,10,19,33,6906,46,,
2505,12,21,38,6887,46,,
2509,13,24,39,6887,47,,
2513,13,22,34,6886,49,,
2517,9,26,38,6886,51,,
2521,9,21,34,6884,52,,
2525,16,30,39,6884,55,,
2529,15,25,36,6877,56,,
2533,12,27,34,6877,59,,
2537,14,30,38,6865,61,,
2541,17,29,37,6865,63,,
2545,16,32,37,6856,66,,
2549,13,33,36,6856,69,,
2553,12,33,37,6842,71,,
2557,15,33,35,6842,74,,
2561,9,32,32,6829,77,,
2565,5,25,27,6829,79,,
2569,7,30,28,6828,82,,
2573,6,30,30,6828,84,,
2577,7,29,26,6861,87,,
2581,7,31,27,6861,90,,
2585,9,40,33,6864,94,,
2589,10,37,30,6864,97,,
2593,9,39,29,6822,101,,
2597,10,42,30,6822,105,,
2601,7,41,28,6829,109,,
2605,7,38,24,6829,113,,
2609,11,42,30,6805,115,,
2613,13,46,31,6805,118,,
2617,14,43,29,6810,120,,
2621,14,50,35,6810,122,,
2625,14,46,32,6783,123,,
2629,13,48,32,6783,125,,
2633,13,53,40,6755,125,,
2637,11,49,32,6755,127,,
2641,5,49,36,6707,127,,
2645,-2,40,24,6707,128,,
2649,-3,44,28,6726,129,,
2653,-1,45,28,6726,130,,
2657,-8,40,21,6772,132,,
2661,-14,32,9,6772,136,,
2665,-8,39,20,6763,137,,
2669,-10,42,21,6763,139,,
2673,-10,37,13,6809,142,,
2677,3,45,22,6809,144,,
2681,6,47,25,6813,145,,
2685,7,49,25,6813,147,,
2689,9,56,32,6762,149,,
2693,10,56,32,6762,150,,
2697,6,53,31,6716,150,,
2701,1,54,30,6716,151,,
2705,-3,45,21,6721,152,,
2709,-5,48,23,6721,153,,
2713,-11,43,16,6757,155,,
2717,-15,37,13,6757,155,,
2721,-15,35,11,6787,155,,
2725,-15,39,13,6787,156,,
2729,-9,40,16,6838,156,,
2733,-11,37,13,6838,156,,
2737,-7,40,14,6828,157,,
2741,-5,44,19,6828,157,,
2745,2,49,22,6838,158,,
2749,5,50,23,6838,159,,
2753,2,46,22,6807,158,,
2757,6,49,24,6807,158,,
2761,7,51,24,6804,159,,
2765,4,48,22,6804,159,,
2769,1,51,23,6801,160,,
2773,1,52,28,6801,159,,
2777,-4,48,22,6800,159,,
2781,-9,43,16,6800,160,,
2785,-7,41,17,6792,159,,
2789,-10,38,13,6792,159,,
2793,-7,40,12,6828,160,,
2797,-5,39,14,6828,160,,
2801,-3,40,14,6865,160,,
2805,-5,38,12,6865,160,,
2809,2,46,22,6865,159,,
2813,-1,43,19,6865,158,,
2817,6,50,21,6846,160,,
2821,6,47,23,6846,159,,
2825,2,44,20,6828,158,,
2829,4,46,19,6828,159,,
2833,7,47,23,6828,158,,
2837,5,51,25,6828,158,,
2841,0,46,21,6829,158,,
2845,-9,37,15,6829,156,,
2849,-10,36,12,6821,156,,
2853,-4,38,15,6821,155,,
2857,-7,35,13,6868,154,,
2861,-2,34,10,6868,154,,
2865,-1,33,13,6885,152,,
2869,9,42,19,6885,152,,
2873,13,45,24,6901,151,,
2877,6,40,21,6901,149,,
2881,8,46,28,6856,147,,
2885,14,51,31,6856,146,,
2889,14,49,34,6820,143,,
2893,3,43,25,6820,142,,
2897,1,35,20,6789,140,,
2901,10,42,27,6789,138,,
2905,7,40,26,6838,136,,
2909,-1,34,21,6838,134,,
2913,-11,27,14,6831,132,,
2917,1,34,22,6831,130,,
2921,1,32,25,6876,126,,
2925,-4,28,21,6876,123,,
2929,1,32,24,6874,121,,
2933,7,33,31,6874,116,,
2937,10,38,32,6870,114,,
2941,11,34,29,6870,112,,
2945,10,38,36,6838,109,,
2949,11,33,34,6838,105,,
2953,17,44,43,6828,103,,
2957,11,30,32,6828,100,,
2961,10,36,38,6779,97,,
2965,9,34,40,6779,93,,
2969,6,33,38,6807,90,,
2973,5,33,36,6807,89,,
2977,4,29,39,6797,84,,
2981,3,29,38,6797,81,,
2985,-6,18,27,6810,78,,
2989,-5,16,31,6810,73,,
2993,2,23,34,6838,71,,
2997,-2,19,34,6838,67,,
3001,-3,18,33,6840,64,,
3005,3,23,37,6840,62,,
3009,8,29,48,6839,58,,
3013,9,26,43,6839,56,,
3017,7,25,44,6785,53,,
3021,8,26,45,6785,51,,
3025,6,24,45,6791,48,,
3029,8,26,46,6791,46,,
3033,13,31,50,6781,45,,
3037,7,22,43,6781,43,,
3041,5,27,47,6741,42,,
3045,6,25,50,6741,39,,
