システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
4853,-48,-100,-100,6488
4857,-53,-100,-100,6488
4861,-63,-100,-100,6508
4865,-60,-100,-100,6508
4873,-57,-100,-100,6508
4877,-56,-100,-100,6508
4881,-41,-100,-100,6508
4885,-48,-100,-100,6518
4893,-44,-100,-100,6528
4897,-37,-100,-100,6528
4901,-34,-100,-100,6528
4905,-43,-100,-100,6528
4913,-24,-100,-100,6546
4917,-44,-100,-100,6546
4921,-37,-100,-100,6546
4925,-17,-100,-100,6556
4933,-13,-100,-100,6555
4937,-23,-100,-100,6555
4941,-10,-100,-100,6565
4945,0,-100,-100,6565
4953,-2,-100,-100,6565
4957,12,-100,-100,6565
4961,22,-100,-100,6565
4965,19,-100,-100,6575
4973,40,-100,-100,6575
4985,56,-100,-100,6565
4989,61,-100,-100,6585
4993,64,-100,-100,6585
5001,64,-100,-100,6585
5005,56,-100,-100,6585
5009,60,-100,-100,6585
5013,56,-100,-100,6585
5021,43,-100,-100,6595
5025,46,-100,-100,6595
5029,46,-100,-100,6595
5033,46,-100,-100,6595
5041,34,-100,-100,6595
5045,26,-100,-100,6585
5049,9,-100,-100,6585
5053,10,-100,-100,6595
5061,6,-100,-100,6595
5065,6,-100,-100,6595
5069,6,-100,-100,6595
5073,-3,-100,-100,6595
5081,3,-100,-100,6585
5085,3,-100,-100,6595
5089,5,-100,-100,6595
5093,6,-100,-100,6605
5101,5,-100,-100,6605
5105,3,-100,-100,6605
5109,6,-100,-100,6605
5113,-4,-100,-100,6605
5121,-2,-100,-100,6586
5125,-7,-100,-100,6595
5129,-4,-100,-100,6595
5133,0,-100,-100,6605
5141,-12,-100,-100,6605
5145,-16,-100,-100,6605
5149,-17,-100,-100,6605
5153,-20,-100,-100,6605
5161,-19,-100,-100,6595
5165,-19,-100,-100,6605
5169,-24,-100,-100,6605
5173,-23,-100,-100,6605
5181,-23,-100,-100,6605
5185,-19,-100,-100,6605
5189,-19,-100,-100,6605
5193,-19,-100,-100,6605
5201,-17,-100,-100,6615
5205,-13,-100,-100,6615
5209,-14,-100,-100,6615
5213,-17,-100,-100,6605
5221,-13,-100,-100,6615
5225,-13,-100,-100,6615
5229,-6,-100,-100,6615
5233,-12,-100,-100,6615
5241,-9,-100,-100,6615
5245,-10,-100,-100,6615
5257,-12,-100,-100,6615
5261,-12,-100,-100,6615
5269,-4,-100,-100,6615
5273,-4,-100,-100,6615
5277,-10,-100,-100,6615
5281,-9,-100,-100,6615
5289,-6,-100,-100,6625
5293,-3,-100,-100,6625
5297,-10,-100,-100,6625
5301,-10,-100,-100,6615
5309,-9,-100,-100,6625
5313,-9,-100,-100,6625
5317,-3,-100,-100,6633
5321,-2,-100,-100,6633
5329,-7,-100,-100,6625
5333,-3,-100,-100,6615
5337,-2,-100,-100,6615
5341,0,-100,-100,6615
5349,5,-100,-100,6633
5353,5,-100,-100,6633
5357,6,-100,-100,6625
5361,5,-100,-100,6625
5369,12,-100,-100,6625
5373,12,-100,-100,6625
5377,12,-100,-100,6625
5381,13,-100,-100,6633
5389,16,-100,-100,6633
5393,14,-100,-100,6633
5397,14,-100,-100,6633
5401,14,-100,-100,6633
5409,13,-100,-100,6633
5413,12,-100,-100,6633
5417,10,-100,-100,6633
5421,12,-100,-100,6633
5429,5,-100,-100,6633
5433,5,-100,-100,6633
5437,2,-100,-100,6633
5441,7,-100,-100,6633
5449,0,-100,-100,6633
5453,6,-100,-100,6633
5457,2,-100,-100,6633
5461,9,-100,-100,6633
5469,5,-100,-100,6633
5473,6,-100,-100,6633
5477,6,-100,-100,6633
5481,13,-100,-100,6633
5489,14,-100,-100,6633
5493,14,-100,-100,6643
5497,17,-100,-100,6643
5501,17,-100,-100,6633
5509,17,-100,-100,6633
5521,19,-100,-100,6633
5525,16,-100,-100,6633
5529,14,-100,-100,6633
5537,20,-100,-100,6633
5541,17,-100,-100,6633
5545,20,-100,-100,6633
5549,17,-100,-100,6643
5557,16,-100,-100,6633
5561,12,-100,-100,6633
5565,13,-100,-100,6633
5569,20,-100,-100,6633
5577,13,-100,-100,6633
5581,13,-100,-100,6633
5585,12,-100,-100,6633
5589,17,-100,-100,6633
