システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
5029,-26,13,9,5275
5033,-16,15,11,5275
5037,-19,18,14,5313
5041,-12,18,14,5313
5045,6,36,31,5312
5049,12,43,39,5312
5053,21,55,51,5212
5057,28,59,54,5212
5061,21,65,60,5052
5065,10,49,45,5052
5069,8,56,52,5002
5073,7,49,45,5002
5077,-7,36,32,5022
5081,-8,41,37,5022
5085,-20,21,17,5133
5089,-24,16,12,5133
5093,-30,8,4,5236
5097,-29,7,3,5236
5101,-31,3,0,5314
5105,-27,6,2,5314
5109,-27,-1,-5,5335
5113,-15,9,6,5335
5117,6,30,26,5350
5121,13,33,29,5350
5125,21,38,34,5370
5129,21,37,33,5370
5133,28,43,39,5380
5137,32,47,43,5380
5141,37,53,49,5372
5145,36,59,55,5372
5149,38,56,52,5326
5153,34,54,50,5326
5157,33,55,51,5287
5161,30,53,49,5287
5165,31,50,45,5254
5169,28,49,45,5254
5173,31,54,50,5237
5177,34,59,55,5237
5181,34,56,51,5177
5185,35,60,56,5177
5189,28,64,59,5104
5193,28,64,60,5104
5197,31,70,65,4983
5201,30,64,59,4983
5205,27,71,66,4900
5209,25,70,65,4900
5213,20,73,68,4831
5217,21,66,61,4831
5221,15,75,70,4803
5225,11,68,63,4803
5229,7,68,63,4812
5233,8,66,61,4812
5237,4,66,60,4819
5241,3,68,62,4819
5245,7,67,62,4829
5249,-4,59,54,4829
5253,5,77,72,4858
5257,5,71,66,4858
5261,-2,66,61,4882
5265,-6,63,58,4882
5269,-3,73,67,4909
5273,-6,69,64,4909
5277,-7,67,62,4899
5281,-8,65,60,4899
5285,-8,71,66,4904
5289,-3,68,62,4904
5293,-5,72,67,4919
5297,-10,65,60,4919
5301,-6,74,69,4946
5305,-3,75,70,4946
5309,-10,73,68,4949
5313,-9,70,65,4949
5317,-8,69,64,4958
5321,-7,74,69,4958
5325,-9,69,64,4969
5329,-8,74,69,4969
5333,-8,71,66,4979
5337,-26,56,51,4979
5341,-16,67,63,4989
5345,-15,64,59,4989
5349,-20,55,50,4993
5353,-19,58,54,4993
5357,-11,68,64,5025
5361,-6,69,65,5025
5365,-6,73,69,4998
5369,-4,78,74,4998
5373,-6,78,74,5001
5377,-10,70,66,5001
5381,-13,69,65,5027
5385,-11,72,68,5027
5389,-12,66,62,5036
5393,-19,54,51,5036
5397,-19,56,53,5050
5401,-15,62,59,5050
5405,-13,65,62,5057
5409,-18,62,58,5057
5413,-6,68,65,5027
5417,-10,67,64,5027
5421,-8,71,68,5028
5425,0,74,71,5028
5429,-1,76,73,5036
5433,-15,64,62,5036
5437,-12,68,65,5049
5441,-9,71,69,5049
5445,-17,64,62,5050
5449,-15,60,57,5050
5453,-15,61,59,5063
5457,-30,46,45,5063
5461,-18,51,49,5082
5465,-14,56,55,5082
5469,-21,51,49,5088
5473,-7,65,63,5088
5477,-7,60,59,5064
5481,-6,64,63,5064
5485,3,75,74,5048
5489,2,76,75,5048
5493,-3,73,73,5039
5497,-3,68,67,5039
5501,-1,66,65,5052
5505,-12,58,57,5052
5509,-22,49,49,5073
5513,-18,53,53,5073
5517,-17,54,54,5124
5521,-25,46,46,5124
5525,-20,51,51,5094
5529,-19,45,46,5094
5533,-20,45,45,5122
5537,-13,52,53,5122
5541,0,66,67,5104
5545,-3,65,66,5104
5549,1,65,65,5072
5553,-1,59,60,5072
5557,0,63,64,5059
5561,-2,64,65,5059
5565,-12,56,57,5057
5569,-14,55,56,5057
5573,-19,50,51,5084
5577,-21,48,49,5084
5581,-24,44,45,5122
5585,-31,36,37,5122
5589,-31,21,23,5169
5593,-23,30,32,5169
5597,-21,33,34,5267
5601,-15,39,41,5267
5605,-8,48,50,5229
5609,-7,50,52,5229
5613,3,56,58,5140
5617,0,56,58,5140
5621,-1,59,61,5057
5625,0,61,64,5057
5629,-6,57,60,5063
5633,-10,47,50,5063
5637,-19,40,42,5093
5641,-18,34,37,5093
5645,-19,34,37,5181
5649,-32,22,25,5181
5653,-33,21,23,5235
5657,-20,32,35,5235
5661,-16,30,33,5287
5665,-13,28,31,5287
5669,-11,33,36,5266
5673,0,46,49,5266
5677,6,55,58,5234
5681,-1,51,54,5234
5685,2,51,54,5102
5689,-5,40,44,5102
5693,-5,43,47,5108
5697,-16,29,32,5108
5701,-21,25,29,5163
5705,-18,29,33,5163
5709,-25,17,20,5247
5713,-22,21,25,5247
5717,-25,13,17,5298
5721,-24,16,19,5298
5725,-15,25,29,5337
5729,-12,17,21,5337
5733,-8,25,29,5320
5737,2,38,42,5320
5741,4,32,35,5287
5745,7,40,44,5287
5749,6,38,42,5265
5753,2,39,43,5265
