システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,kp100,-1
709,22,9,17,5040
713,17,6,13,5040
717,12,2,9,5040
721,11,1,9,5040
725,9,0,7,5040
729,7,4,11,5057
733,7,2,10,5057
737,4,-1,6,5039
741,2,-4,3,5039
745,3,1,9,5039
749,6,2,10,5039
753,10,4,12,5040
757,10,3,12,5040
761,10,3,11,5020
765,10,8,17,5020
769,7,4,12,5020
773,7,9,17,5020
777,7,6,14,5001
781,2,0,7,5001
785,0,-4,3,5011
789,-4,-4,3,5011
793,-6,-9,-1,5020
797,-3,-2,4,5020
801,-3,-6,1,5049
805,0,-5,0,5049
809,2,0,7,5049
813,0,-4,1,5049
817,3,-3,2,5075
821,6,3,9,5075
825,7,2,8,5075
829,11,4,10,5075
833,16,8,13,5056
837,19,11,16,5056
841,21,13,18,5049
845,23,21,27,5049
849,28,26,31,5029
853,31,29,34,5029
857,35,34,39,4981
861,36,42,48,4981
865,34,41,46,4905
869,31,37,43,4905
873,32,39,45,4840
877,31,45,51,4840
881,27,40,46,4783
885,22,41,46,4783
889,19,36,41,4735
893,19,34,39,4735
897,19,39,44,4735
901,20,45,49,4735
905,21,44,48,4658
909,20,47,51,4658
913,19,51,54,4593
917,20,49,51,4593
921,22,57,58,4499
925,21,59,61,4499
929,23,66,67,4449
933,25,71,71,4449
937,28,78,77,4446
941,17,68,67,4446
945,7,58,55,4471
949,-1,50,45,4471
953,-6,50,44,4568
957,-19,33,26,4568
961,-27,21,12,4612
965,-33,11,1,4612
969,-32,8,-2,4737
973,-38,6,-6,4737
977,-39,0,-12,4788
981,-28,8,-6,4788
985,-26,7,-7,4865
989,-21,10,-5,4865
993,3,34,17,4875
997,17,43,24,4875
システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,-1,-1,0,6562
5,-2,-2,0,6562
9,-5,-5,-3,6467
13,-5,-6,-3,6467
17,-5,-6,-4,6317
21,-5,-7,-5,6317
25,-6,-8,-6,6261
29,-7,-14,-13,6261
33,-8,-15,-13,6214
37,-8,-15,-13,6214
41,-8,-20,-18,6156
45,-4,-16,-14,6156
49,-3,-20,-18,6080
53,-4,-19,-17,6080
57,-3,-22,-20,6109
61,-1,-18,-16,6109
65,-5,-25,-23,6089
69,-8,-31,-29,6089
73,-6,-32,-30,6059
77,-8,-31,-29,6059
81,14,-16,-14,6078
85,29,-5,-3,6078
89,37,1,3,6117
93,36,1,4,6117
97,38,9,12,6133
101,38,8,12,6133
105,26,0,3,6106
109,16,-4,0,6106
113,15,-7,-2,6143
117,12,-6,0,6143
121,6,-14,-7,6152
125,3,-14,-7,6152
129,3,-12,-5,6171
133,8,-12,-4,6171
137,8,-9,-2,6191
141,9,-6,0,6191
145,7,-11,-4,6218
149,7,-9,-2,6218
153,3,-10,-3,6217
157,2,-10,-3,6217
161,0,-11,-3,6237
165,-6,-15,-8,6237
169,-8,-22,-14,6217
173,-8,-22,-14,6217
177,-8,-21,-14,6237
181,-8,-21,-13,6237
185,-7,-20,-13,6247
189,-2,-21,-14,6247
193,6,-14,-6,6246
197,7,-11,-4,6246
201,1,-15,-7,6266
205,2,-13,-6,6266
209,10,-6,0,6275
213,12,-4,2,6275
217,6,-12,-6,6292
221,10,-8,-1,6292
225,9,-7,-1,6312
229,17,0,6,6312
233,25,6,13,6322
237,19,4,10,6322
241,14,1,8,6312
245,26,11,18,6312
249,33,17,25,6312
253,18,7,15,6312
257,21,10,18,6293
261,30,18,26,6293
265,18,10,18,6293
269,23,14,22,6293
273,25,16,25,6237
277,35,30,38,6237
281,36,33,41,6057
285,28,27,35,6057
289,20,22,30,5765
293,41,45,54,5765
297,39,46,54,5576
301,32,46,54,5576
305,42,56,64,5406
309,45,65,73,5406
313,40,68,76,5263
317,41,73,82,5263
321,45,83,91,5159
325,45,87,95,5159
329,34,81,89,5128
333,30,79,87,5128
337,20,71,79,5125
341,9,61,69,5125
345,-6,46,53,5129
349,-8,48,56,5129
353,-15,38,46,5188
357,-15,35,42,5188
361,-17,37,43,5211
365,-17,34,39,5211
369,-17,31,36,5221
373,-13,39,43,5221
377,-3,45,48,5235
381,4,51,53,5235
385,6,59,60,5199
389,2,60,61,5199
393,-2,54,54,5190
397,-4,55,55,5190
401,-10,46,45,5188
405,-12,48,45,5188
409,-17,45,42,5209
413,-20,43,39,5209
417,-21,37,32,5201
421,-30,30,24,5201
425,-33,27,20,5226
429,-31,23,15,5226
433,-33,22,12,5262
437,-34,22,11,5262
441,-35,15,2,5281
445,-27,24,10,5281
449,-27,19,4,5347
453,-24,24,7,5347
457,-24,25,9,5309
461,-23,21,4,5309
465,-21,26,7,5309
469,-21,21,2,5309
473,-20,24,5,5310
477,-18,22,2,5310
481,-15,22,1,5301
485,-13,27,5,5301
489,-12,25,2,5306
493,-12,22,0,5306
497,-12,26,3,5276
501,-13,22,0,5276
505,-13,19,-4,5276
509,-14,16,-7,5276
513,-13,15,-8,5219
517,-11,9,-15,5219
521,-5,15,-9,5195
525,-2,18,-6,5195
529,0,14,-10,5141
533,4,20,-5,5141
537,6,24,-1,5112
541,6,19,-6,5112
545,8,17,-8,5129
549,10,16,-9,5129
553,12,17,-9,5099
557,14,17,-9,5099
561,17,19,-7,5081
565,21,23,-3,5081
569,22,24,-2,5083
573,21,24,-3,5083
577,18,21,-6,5089
581,19,16,-11,5089
585,19,17,-10,5062
589,17,11,-17,5062
593,15,11,-17,5017
597,15,6,-22,5017
601,16,10,-18,4969
605,16,5,-22,4969
609,17,3,-24,4943
613,18,2,-26,4943
617,18,6,-21,5022
621,18,4,-24,5022
625,19,3,-25,5041
629,19,2,-27,5041
633,18,0,-29,5014
637,24,5,-24,5014
641,36,17,-12,4997
645,44,26,-3,4997
649,48,32,2,5032
653,54,47,17,5032
657,56,50,20,5061
661,58,54,24,5061
665,57,55,25,5050
669,52,58,28,5050
673,48,55,25,5027
677,42,55,25,5027
681,38,50,21,5011
685,39,56,27,5011
689,41,63,34,5003
693,43,69,40,5003
697,44,67,40,4941
701,40,68,40,4941
705,36,68,41,4904
709,34,75,49,4904
713,30,73,47,4839
717,30,74,48,4839
721,21,73,47,4756
725,10,60,34,4756
729,-2,45,20,4727
733,-4,47,21,4727
737,-7,39,14,4781
741,-19,30,4,4781
745,-21,29,3,4803
749,-19,25,-1,4803
753,-16,30,2,4937
757,-17,24,-3,4937
761,-14,29,0,4999
765,-9,37,7,4999
769,-12,29,-1,5031
773,-10,27,-3,5031
777,2,43,10,5037
781,8,46,13,5037
785,3,45,12,5044
789,13,52,19,5044
793,12,50,16,5038
797,11,54,20,5038
801,12,53,19,5039
805,16,55,21,5039
809,13,57,23,5043
813,9,51,17,5043
817,7,47,13,5030
821,7,45,11,5030
825,3,46,11,5043
829,3,43,8,5043
833,5,43,8,5040
837,3,45,11,5040
841,3,42,8,5040
845,4,41,7,5040
849,6,41,7,5045
853,7,40,7,5045
857,8,40,7,5045
861,10,42,8,5045
865,9,47,13,5041
869,9,45,11,5041
873,9,44,10,5038
877,9,43,9,5038
881,8,41,7,5033
885,8,41,6,5033
889,7,39,5,5030
893,7,38,4,5030
897,6,43,9,5030
901,6,42,7,5030
905,5,40,4,5029
909,5,38,3,5029
913,4,36,1,5038
917,3,34,0,5038
921,5,35,0,5053
925,6,36,0,5053
929,5,34,0,5057
933,7,36,0,5057
937,8,36,1,5066
941,10,38,3,5066
945,11,40,4,5049
949,12,41,5,5049
953,11,40,5,5049
957,10,39,4,5049
961,10,39,4,5052
965,9,38,3,5052
969,10,39,4,5052
973,11,40,5,5052
977,12,41,6,5057
981,13,43,7,5057
985,14,44,9,5039
989,14,44,9,5039
993,13,44,8,5038
997,11,42,7,5038
